C,gamma,kernel,roc_auc, F1,recall,precision
3000,0.1,sigmoid,0.612,0.258,0.637,0.162
1400,0.1,sigmoid,0.612,0.258,0.63,0.162
1400,0.1,sigmoid,0.612,0.258,0.63,0.162
3000,auto,sigmoid,0.612,0.26,0.595,0.167
3000,auto,sigmoid,0.612,0.26,0.595,0.167
3000,auto,sigmoid,0.612,0.26,0.595,0.167
3000,auto,sigmoid,0.612,0.26,0.595,0.167
1500,0.1,sigmoid,0.609,0.256,0.627,0.161
1500,0.1,sigmoid,0.609,0.256,0.627,0.161
3000,scale,sigmoid,0.608,0.257,0.592,0.164
3000,scale,sigmoid,0.608,0.257,0.592,0.164
1300,0.1,sigmoid,0.607,0.255,0.62,0.16
1300,0.1,sigmoid,0.607,0.255,0.62,0.16
100,0.01,poly,0.589,0.258,0.338,0.209
0.1,0.1,poly,0.589,0.258,0.338,0.209
10,auto,poly,0.587,0.256,0.338,0.206
10,auto,poly,0.587,0.256,0.338,0.206
10,scale,poly,0.585,0.253,0.335,0.203
100,auto,poly,0.583,0.25,0.317,0.207
100,auto,poly,0.583,0.25,0.317,0.207
0.1,0.1,sigmoid,0.582,0.237,0.553,0.151
0.1,0.1,sigmoid,0.582,0.237,0.553,0.151
100,scale,poly,0.582,0.249,0.32,0.204
10,100,sigmoid,0.575,0.231,0.581,0.144
10,100,sigmoid,0.575,0.231,0.581,0.144
1,0.1,sigmoid,0.575,0.232,0.546,0.147
1,0.1,sigmoid,0.575,0.232,0.546,0.147
3000,0.01,poly,0.574,0.238,0.313,0.192
1000,auto,poly,0.572,0.235,0.299,0.193
1000,auto,poly,0.572,0.235,0.299,0.193
1300,scale,poly,0.572,0.235,0.299,0.194
1300,100,sigmoid,0.571,0.228,0.574,0.142
1300,100,sigmoid,0.571,0.228,0.574,0.142
1400,100,sigmoid,0.571,0.228,0.574,0.142
1400,100,sigmoid,0.571,0.228,0.574,0.142
1200,100,sigmoid,0.571,0.228,0.574,0.142
1200,100,sigmoid,0.571,0.228,0.574,0.142
1500,100,sigmoid,0.571,0.228,0.574,0.142
1500,100,sigmoid,0.571,0.228,0.574,0.142
2000,100,sigmoid,0.571,0.228,0.574,0.142
2000,100,sigmoid,0.571,0.228,0.574,0.142
3000,100,sigmoid,0.571,0.228,0.574,0.142
3000,100,sigmoid,0.571,0.228,0.574,0.142
1200,auto,poly,0.571,0.234,0.299,0.192
1200,auto,poly,0.571,0.234,0.299,0.192
1200,scale,poly,0.571,0.234,0.299,0.193
1400,scale,poly,0.571,0.234,0.296,0.193
1000,0.01,poly,0.571,0.235,0.292,0.196
1,0.1,poly,0.571,0.235,0.292,0.196
1000,100,sigmoid,0.57,0.228,0.574,0.142
1000,100,sigmoid,0.57,0.228,0.574,0.142
100,100,sigmoid,0.57,0.228,0.574,0.142
100,100,sigmoid,0.57,0.228,0.574,0.142
2000,10,sigmoid,0.57,0.227,0.574,0.141
2000,10,sigmoid,0.57,0.227,0.574,0.141
1300,10,sigmoid,0.57,0.227,0.57,0.142
1000,10,sigmoid,0.57,0.227,0.57,0.142
1300,10,sigmoid,0.57,0.227,0.57,0.142
1000,10,sigmoid,0.57,0.227,0.57,0.142
1400,10,sigmoid,0.57,0.227,0.57,0.142
1400,10,sigmoid,0.57,0.227,0.57,0.142
1200,10,sigmoid,0.57,0.227,0.57,0.142
1200,10,sigmoid,0.57,0.227,0.57,0.142
3000,10,sigmoid,0.57,0.227,0.57,0.142
